leisure,0.01942750344284871
function,0.5099645878418257
article,0.062364745229195356
affect,0.06044658666142042
negemo,0.021739130434782608
sad,0.0036002360810544953
drives,0.06978162502459177
achieve,0.01564036986031871
bio,0.014430454456029904
health,0.004131418453669093
sexual,0.0019968522526067284
prep,0.11875860712177848
adverb,0.05744638992720834
power,0.02183749754082235
relativ,0.12372614597678536
space,0.05799724572103089
work,0.01857170962030297
cogproc,0.13228408420224277
certain,0.015561676175486917
informal,0.022073578595317726
assent,0.003423175290182963
anger,0.008941569939012394
verb,0.16474522919535708
posemo,0.03803855990556758
insight,0.021611253196930948
focuspast,0.03176273854023215
reward,0.017509344875073777
affiliation,0.01789297658862876
money,0.009118630729883927
percept,0.023627778870745623
motion,0.018502852646075152
cause,0.01906354515050167
adj,0.0527641156797167
differ,0.0429569152075546
quant,0.025368876647649027
focuspresent,0.11471571906354515
home,0.0016427306708636632
social,0.08478260869565217
swear,0.004485540035412158
netspeak,0.011656502065709227
anx,0.0018296281723391699
compare,0.02828054298642534
time,0.04713751721424356
relig,0.002547708046429274
nonflu,0.0023804839661617154
focusfuture,0.011941766673224474
auxverb,0.09501278772378517
negate,0.02176864056659453
ingest,0.0030592169978359237
death,0.0020558725162305724
tentat,0.03653354318315955
conj,0.06382057839858352
body,0.0051052528034625224
pronoun,0.14125516427306709
ipron,0.05868581546330907
filler,0.0004819988195947275
see,0.011754869171748967
hear,0.006029903600236081
family,0.00187881172535904
female,0.003728113318906158
risk,0.006256147944127484
friend,0.002931339759984261
discrep,0.019122565414125516
male,0.007957898878614991
number,0.009256344678339563
feel,0.004426519771788314
ppron,0.08247098170371828
shehe,0.007328349399960653
interrog,0.014164863269722605
i,0.038097580169191424
we,0.004859335038363171
they,0.008794019279952783
you,0.023391697816250247
